"","ID","year","location","pm25v0_expo_day","pm10v0_expo_day","no2pred_expo_day","o3_8hpred_expo_day"
"1",387,2003,"AL011",293.959151298375,95.2823378849735,0.0225223321270387,20.1313419164643
"2",387,2004,"AL011",282.252480799243,83.9401625759826,0,0.28000743154185
"3",387,2005,"AL011",286.164778375017,81.9856382589623,1.20094484532706,0.474421385516235
"4",387,2006,"AL011",287.020498570601,92.4662441625823,0,0.668835339490621
"5",387,2007,"AL011",283.790586990281,89.0342557587338,0,34.5491164910855
"6",387,2008,"AL011",260.859416632522,78.6283747149112,0,8.15361331009987
"7",387,2009,"AL011",272.606601622535,64.4683848359386,0,6.13379892165767
"8",387,2010,"AL011",309.138010593329,49.3515538965239,0,5.39497169635771
"9",387,2011,"AL011",321.671826427906,81.5536644467068,0.0868967750749406,36.763079039895
"10",387,2012,"AL011",318.685948173278,34.8177303741602,0,42.5227221535329
"11",387,2013,"AL011",299.985975289564,18.9468581727232,0.0292485742552782,24.4381450468318
"12",387,2014,"AL011",291.410733012437,14.7226299231284,0,5.43399783909386
"13",387,2015,"AL011",291.224286607078,28.1889696170263,0,34.3715854610832
"14",387,2016,"AL011",283.470083313566,18.6761475412692,2.96016888618483,6.76351674706391
"15",387,2017,"AL011",284.857854806606,13.5983535542774,0,51.2456362442896
"16",387,2018,"AL011",282.522165232352,14.4691805238969,0,17.6721599240116
"17",387,2019,"AL011",278.606114858019,12.0721366427686,0,36.6201249641437
"18",387,2020,"AL011",299.497873292044,12.0972968814888,0,12.8311893977643
"19",388,2003,"AL012",360.686154091625,102.127169299148,5.43196781826574,57.3853229504904
"20",388,2004,"AL012",358.471771610743,82.8064198196458,4.59921668268441,10.0238485935004
"21",388,2005,"AL012",356.178417537919,74.0181603511601,5.86842988257079,9.93218430933022
"22",388,2006,"AL012",358.903334454038,82.6711192601948,4.43839399396458,9.84052002516005
"23",388,2007,"AL012",350.561225871312,81.4993333091947,5.30868498217329,50.1742625337166
"24",388,2008,"AL012",348.662027046663,83.4359441844381,1.37147739277719,15.1483699010333
"25",388,2009,"AL012",348.730481685623,55.3921550909108,0.476059616854626,24.244261968212
"26",388,2010,"AL012",342.986076125932,36.901019921897,1.2453932618019,19.167093779805
"27",388,2011,"AL012",351.836076832036,75.0380307276416,1.73544582168783,51.2963524853231
"28",388,2012,"AL012",353.585951471862,9.72088168578366,1.89989241430735,69.1915092721487
"29",388,2013,"AL012",340.92791718005,7.51082756985735,0.754908947319728,49.9819929987574
"30",388,2014,"AL012",323.692938648963,3.74800445137647,0.178808299571439,16.0311623260545
"31",388,2015,"AL012",327.195400612475,26.2967556805502,0.548274137640793,61.8429936530132
"32",388,2016,"AL012",319.28737948244,5.92804791574979,3,26.9042303024567
"33",388,2017,"AL012",320.447999597292,2.03605884680386,0.369465838069354,71.4540244373292
"34",388,2018,"AL012",333.166266199719,4.83341722562814,0,55.7827914412974
"35",388,2019,"AL012",320.706886230898,2.85079948148598,0,60.600683800102
"36",388,2020,"AL012",290.743894192068,3.22855672004934,0,26.6913068766472
"37",401,2003,"AL013",353.541547687917,118.953359493457,0,12.75124027222
"38",401,2004,"AL013",351.734913347648,100.43544658826,0,0.0036978349113625
"39",401,2005,"AL013",349.695160412962,104.905988323776,1,0.0417895903980006
"40",401,2006,"AL013",351.588350155325,102.294418178945,0,0.0798813458846386
"41",401,2007,"AL013",353.640281415638,99.3745040038333,0,30.9500909400828
"42",401,2008,"AL013",351.170291047839,86.8920976770482,0,3.45316853478788
"43",401,2009,"AL013",333.531176906098,65.9822445566062,0,5.59638177691754
"44",401,2010,"AL013",318.133118413764,48.7361628939909,0,0.954733398565059
"45",401,2011,"AL013",325.912961469801,89.1836890725075,0.140561670199647,19.370193358256
"46",401,2012,"AL013",338.802206362781,38.176974040132,0,28.4991048046919
"47",401,2013,"AL013",314.279656637706,23.1841742039827,0,16.5614202286428
"48",401,2014,"AL013",298.235290791757,15.3080270896967,0,3.89036737684041
"49",401,2015,"AL013",297.10979571321,36.8777058877964,0,24.1440971266834
"50",401,2016,"AL013",286.553647125068,27.9120737171153,2.97549905574552,5.66445983139775
"51",401,2017,"AL013",291.794061027844,19.7412666249157,0,42.0518803546925
